text,title,source,timestamp,url,author,firm
"Found Health Claims Evaluated: Affordable GLP-1 Weight Loss Medication Provider with Free Online Insurance Check Found Health's GLP-1 program, insurance check, Wegovy, Zepbound, Ozempic access, compounded options, and 2026 pricing structure — evaluated....",Found Health Claims Evaluated: Affordable GLP-1 Weight Loss Medication Provider with Free Online Insurance Check,NewsAPI,2026-04-08 21:25:00+00:00,https://www.globenewswire.com/news-release/2026/04/08/3270578/0/en/Found-Health-Claims-Evaluated-Affordable-GLP-1-Weight-Loss-Medication-Provider-with-Free-Online-Insurance-Check.html,Found Health,Eli Lilly and Company
"My experience using Tirzepatide with MCAS & EDS My research notes and experience trialling microdoses of Tirzepatide with mast cell activation syndrome, EDS & a spinal CSF leak.",My experience using Tirzepatide with MCAS & EDS,NewsAPI,2026-04-08 05:47:01+00:00,https://jodiettenberg.com/glp1-mcas/,amy,Eli Lilly and Company
"A new weight-loss pill is here. Here's how Foundayo compares to Wegovy, Zepbound, and other GLP-1 rivals. The FDA has approved Foundayo, a new weight-loss pill that could give Eli Lilly an edge over other drugmakers. Here's how it compares to other GLP-1s.","A new weight-loss pill is here. Here's how Foundayo compares to Wegovy, Zepbound, and other GLP-1 rivals.",NewsAPI,2026-04-02 18:30:15+00:00,https://www.businessinsider.com/foundayo-vs-zepbound-wegovy-rybelsus-cost-insurance-side-effects-2026-4,Allie Kelly,Eli Lilly and Company
Correction: Weight loss efficiency and safety of tirzepatide: A Systematic review,Correction: Weight loss efficiency and safety of tirzepatide: A Systematic review,NewsAPI,2026-04-02 14:00:00+00:00,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0346588,"Fei Lin, Bin Yu, Baodong Ling, Guangyao Lv, Huijun Shang, Xia Zhao, Xiaoling Jie, Jing Chen, Yan Li",Eli Lilly and Company
"Companies are tightening their belts on Americans' ability to tighten their belts From Zepbound to cancer care, insurance denials are up in 2026. Even with good insurance, consumers face steep bills for popular drugs.",Companies are tightening their belts on Americans' ability to tighten their belts,NewsAPI,2026-04-02 08:07:01+00:00,https://www.businessinsider.com/lost-100-pounds-zepbound-insurance-denials-ozempic-cancer-2026-4,Allie Kelly,Eli Lilly and Company
