Asset,mean_mse,std_mse,mean_mae,std_mae,mean_rmse,std_rmse,mean_alpha,mean_beta,mean_r2
BAC,0.0002834755603398218,6.18392189501765e-05,0.01230290620548231,0.001546923937598344,0.016756398903987658,0.0018366600496087433,-0.0027520390499393395,0.0558767496265261,0.021448844806736388
BLK,0.00026400416990604364,0.00015179263143746423,0.011658443918724745,0.002999036489971471,0.015783084220745962,0.004315440647674836,-0.0028323536880747622,0.06612352392076008,0.031722024529781144
CG,0.0005966365132718259,0.00019138353046642875,0.017774047175965813,0.003381422765500268,0.024179962793184476,0.003867478602403658,-0.0029629300006575408,0.09406078749977502,0.02875122765942928
CME,0.00015392334524501268,5.699694778513925e-05,0.00930269027744706,0.0015660833960341363,0.012259477972623996,0.0021297139138155715,-0.0023676576432388545,0.006119605236009125,0.0005837839938817701
JPM,0.00022928655293117392,5.185727278906194e-05,0.01081313192573091,0.0017143737738728583,0.015065022615311235,0.001707207709732101,-0.0023673504366509787,0.04621629375754409,0.018083787532338635
MET,0.00026423976405730613,4.503383663198212e-05,0.011714224763702753,0.0011174032284449276,0.016206661777750576,0.001407070573436448,-0.002600763898309314,0.030559877799013906,0.006973356391663366
MS,0.0003140108855805688,4.655393346033569e-05,0.012947806707522921,0.0014382275174446904,0.01768171540949469,0.001307586401641845,-0.00238215366258146,0.052908191810886594,0.017109985793808003
Portfolio_EQ,0.00018055410417437746,6.323049795434036e-05,0.009729490417979856,0.0018779481082309782,0.013280783581636058,0.002284428711987841,-0.002609321197064606,0.05026643280721636,0.026962410673715676
