Date,BAC,BLK,CG,CME,JPM,MET,MS,Portfolio_EQ,Mkt-RF,SMB,HML,RMW,CMA,RF,Frequency,BAC_Excess,BLK_Excess,JPM_Excess,MS_Excess,MET_Excess,CG_Excess,CME_Excess,Portfolio_EQ_Excess
2021-03-17,0.008202478181414787,0.007097227289371001,0.0037600959138402758,-0.002610304798086013,0.010239866176699792,0.0140633832727773,0.01586566188008697,0.008088343988014874,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,0.008202478181414787,0.007097227289371001,0.010239866176699792,0.01586566188008697,0.0140633832727773,0.0037600959138402758,-0.002610304798086013,0.008088343988014874
2021-03-18,0.025752253712728417,-0.006184752616027144,-0.02524896074781369,-0.003880481447920242,0.016371722798934254,0.026414445606388597,0.0009533060078543827,0.004882504759163511,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,0.025752253712728417,-0.006184752616027144,0.016371722798934254,0.0009533060078543827,0.026414445606388597,-0.02524896074781369,-0.003880481447920242,0.004882504759163511
2021-03-19,-0.010585094745811947,0.008132879326229237,0.0030199933020562224,-0.01527770039301868,-0.01604945249402358,-0.007639293144176481,-0.011984737582234508,-0.007197629390139962,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,-0.010585094745811947,0.008132879326229237,-0.01604945249402358,-0.011984737582234508,-0.007639293144176481,0.0030199933020562224,-0.01527770039301868,-0.007197629390139962
2021-03-22,-0.02283800031160229,0.001752653671463077,0.014694403000234888,-0.016467899643861268,-0.02724654790677688,-0.01944039619104932,-0.012374227250116785,-0.011702859233101225,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,-0.02283800031160229,0.001752653671463077,-0.02724654790677688,-0.012374227250116785,-0.01944039619104932,0.014694403000234888,-0.016467899643861268,-0.011702859233101225
2021-03-23,-0.02038711606428948,-0.019828007404524527,-0.008954203739080105,0.002905122099472451,-0.010052428423457637,-0.024418287156922496,-0.03477725441337378,-0.016501739300310795,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,-0.02038711606428948,-0.019828007404524527,-0.010052428423457637,-0.03477725441337378,-0.024418287156922496,-0.008954203739080105,0.002905122099472451,-0.016501739300310795
2021-03-24,0.0,0.008587345563527185,0.001906019856922284,0.02396927006404417,0.007731218946401664,-0.002047763304231389,0.0026505755339690748,0.006113809522947569,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,0.0,0.008587345563527185,0.007731218946401664,0.0026505755339690748,-0.002047763304231389,0.001906019856922284,0.02396927006404417,0.006113809522947569
2021-03-25,0.020387116064289456,0.006550777493015861,0.0024454959122047746,0.002292626791787695,0.012732234076816814,0.025301011358072882,0.010033869424459286,0.01139187587437811,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,0.020387116064289456,0.006550777493015861,0.012732234076816814,0.010033869424459286,0.025301011358072882,0.0024454959122047746,0.002292626791787695,0.01139187587437811
2021-03-26,0.02672368980121848,0.03961707777433623,-0.0016292209253740502,0.015422485959027671,0.016513253002105377,0.012907552821031187,-0.001873830592709244,0.01538300111994795,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,0.02672368980121848,0.03961707777433623,0.016513253002105377,-0.001873830592709244,0.012907552821031187,-0.0016292209253740502,0.015422485959027671,0.01538300111994795
2021-03-29,-0.009611350300994555,0.0012674333359531146,-0.010932395425742081,0.002539168101270377,-0.015661397320536823,-0.010910972828252194,-0.026607286574424634,-0.009988114430389541,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,-0.009611350300994555,0.0012674333359531146,-0.015661397320536823,-0.026607286574424634,-0.010910972828252194,-0.010932395425742081,0.002539168101270377,-0.009988114430389541
2021-03-30,0.017594053817120665,-0.011412450000930765,0.019592103928898028,-0.019473460104307703,0.011720304572781772,0.021053404585001316,0.015417541418642548,0.007784499745315123,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0,Daily,0.017594053817120665,-0.011412450000930765,0.011720304572781772,0.015417541418642548,0.021053404585001316,0.019592103928898028,-0.019473460104307703,0.007784499745315123
