Asset,CAPM_R2,FF3_R2,FF5_R2,FF5_over_CAPM,FF5_over_FF3,CAPM_AIC,FF3_AIC,FF5_AIC,FF5_Better_than_FF3
BAC,0.021489571978457578,0.03561201172929396,0.03639181556556004,0.01490224358710246,0.0007798038362660797,-6426.803930231919,-6440.321922394673,-6437.29667917816,True
BLK,0.0313760975042251,0.034415249138115,0.035647959264956675,0.004271861760731577,0.001232710126841674,-6513.733869038799,-6513.520617408782,-6511.059958916045,True
CG,0.028854738348999986,0.03351899618881293,0.03415233896524339,0.005297600616243403,0.0006333427764304567,-5527.174288324788,-5528.9756563731935,-5525.765561410377,True
CME,0.0005101817391164332,0.0015924826059215968,0.0030640824823825463,0.002553900743266113,0.0014715998764609495,-7166.801381126523,-7164.106926360306,-7161.884342860767,True
JPM,0.018047678345561757,0.029314269231370038,0.029650110503864013,0.011602432158302256,0.0003358412724939752,-6679.550945286157,-6689.45663831946,-6685.873620607852,True
MET,0.006795371170995823,0.029063366737837493,0.03025369005561629,0.023458318884620466,0.0011903233177787964,-6513.916789389192,-6537.240775611124,-6534.718956045295,True
MS,0.016901116995255094,0.024438483192489424,0.02459897968431879,0.007697862689063695,0.00016049649182936498,-6304.547248398978,-6309.82151677426,-6306.0197761148775,True
Portfolio_EQ,0.026945445023810133,0.03821940296871129,0.03854932987247617,0.011603884848666035,0.00032992690376487666,-6973.1416400085,-6983.184462271467,-6979.597893489778,True
