title,description,full_text,url,source_name,source_url,image_url,published_date,search_query,firm_name,keyword_used,collection_date
Why General Mills is cheering on the GLP-1 boom - BakeryAndSnacks.com,Why General Mills is cheering on the GLP-1 boom  BakeryAndSnacks.com,Why General Mills is cheering on the GLP-1 boom  BakeryAndSnacks.com,https://news.google.com/rss/articles/CBMipwFBVV95cUxPb3R1UTFiMmVkdVlGS2VybjRkTVNkYkNLWTBSbWRzQUNodjJIZ3h2d09WRktLcmc0V2FTWFJlVVdXYlRPSHI5WDVBWU9XV1R2M29vUjFuVnJwWEZLblduTlN0SEtrX1NwUW96SHJraGlEQjlUNTZDMlhzWmVja3hPSWVnZU41MDNJcE00VEk3aFJtMFA2NlB2anlQMUdUVWVUSmNTMkg4bw?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:19:54.254447,"""General Mills"" ""Ozempic""",General Mills,Ozempic,2026-04-09 16:19:54.254449
General Mills: How a 150-Year-Old Food Giant Is Rebuilding Its Flagship Portfolio for the Ozempic Er - AD HOC NEWS,General Mills: How a 150-Year-Old Food Giant Is Rebuilding Its Flagship Portfolio for the Ozempic Er  AD HOC NEWS,General Mills: How a 150-Year-Old Food Giant Is Rebuilding Its Flagship Portfolio for the Ozempic Er  AD HOC NEWS,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPUGpfdV9CcUJ4VjZUUTI5Tkp0V2pLR3kwVFJ1UjVtSUNzd2RrQVI2dTQwWjZ6NTFWdnRHUGd3dW1DUlJrbVZWTVZDX3dULWxvRnE5VW9DSVlFVnhQRkx1VnhXdTJuMnQxRTlXR0pSY3lXZWhKY05XWFRzOEY2SHd5cnVOSTVWLUJNT1NLWXpWU0p6S0hldUxUNHFsOTJBVDZLLWNQT0lUN0hYWG9JWU9QZ0lRbXlaSEtjclZhOU1QWmlDZw?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:19:54.254463,"""General Mills"" ""Ozempic""",General Mills,Ozempic,2026-04-09 16:19:54.254463
"Protein snacks are getting more popular thanks to weight-loss drugs, says General Mills - MarketWatch","Protein snacks are getting more popular thanks to weight-loss drugs, says General Mills  MarketWatch","Protein snacks are getting more popular thanks to weight-loss drugs, says General Mills  MarketWatch",https://news.google.com/rss/articles/CBMiyAFBVV95cUxNcVlvT3hMWTNxRG10SFZpWm9IcWlNczVaMVp0UXpWcU5iQng5TklxRlBiUVZOQlZzRXpZVjdEZlMwV2Nya2lMQVdNaXdLTUlCbGtKV0lLRk5BQkhkZTZSTWpjRGw4QS1vUktzQlNuY3pzejNtSmFtdE9hVkt4QWJCV0VZVk5fNXVtLXdIc2tMd0tWS1NiSmR0NGZyT1h0cUZzZWpHakVSZllPN294Y0prTG1zNHlPWlNYS09mRmFrUzF4R3FaWTUwVg?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:20.015913,"""General Mills"" ""weight loss drugs""",General Mills,weight loss drugs,2026-04-09 16:20:20.015913
Jim Cramer Highlights Food Stocks Like General Mills “Are Being Eaten Alive by Those GLP-1 Weight Loss Drugs” - Yahoo Finance,Jim Cramer Highlights Food Stocks Like General Mills “Are Being Eaten Alive by Those GLP-1 Weight Loss Drugs”  Yahoo Finance,Jim Cramer Highlights Food Stocks Like General Mills “Are Being Eaten Alive by Those GLP-1 Weight Loss Drugs”  Yahoo Finance,https://news.google.com/rss/articles/CBMihgFBVV95cUxPSy16TGp4WmVuYk83Mzl2LVU1b2s3ZUJGT21vWVZ0YmtnNjBocUFINTF2aU5zaGhUZ3BlY0NjRFBOTVQ4NEZQa2xZSlNYTHl5a1NsWkR1TVE2OUkyWXJzWDNzeUVxVU1QQjlZcF9ySFVReEpfNEVlSUVEd1RQSmkyTHh5cE1XQQ?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:20.015925,"""General Mills"" ""weight loss drugs""",General Mills,weight loss drugs,2026-04-09 16:20:20.015925
"GLP-1 And Private Labels Are A Genuine Threat To General Mills, But I May Buy This Dip - Seeking Alpha","GLP-1 And Private Labels Are A Genuine Threat To General Mills, But I May Buy This Dip  Seeking Alpha","GLP-1 And Private Labels Are A Genuine Threat To General Mills, But I May Buy This Dip  Seeking Alpha",https://news.google.com/rss/articles/CBMixAFBVV95cUxNSVBfZG9wbGF5ZmFkUmFST3Y5bnp4aDBkNDMybVNEYkt6Y3lzZlM5b0Job1lObWt6MUF5UUUtWWd2cHg4eGlmWDB1NFFMYmw4RFlQRFZoUEdLNkNmVDNVZXh1VEVHb2t0QV8tZ01EUjM5Y1NkNEd5WW5RWEtZTnU5VlRCMFFqSldoZHhnRnVUYnRFdHQ0aDA4bXNmenB2azZ2QUpKYnoyYURhdmpHeGxyS1RreG41R3gySWVjM0Vmblg4NDhw?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:20.015961,"""General Mills"" ""weight loss drugs""",General Mills,weight loss drugs,2026-04-09 16:20:20.015962
General Mills leans into weight loss foods with protein and ‘good calories’ - Food Dive,General Mills leans into weight loss foods with protein and ‘good calories’  Food Dive,General Mills leans into weight loss foods with protein and ‘good calories’  Food Dive,https://news.google.com/rss/articles/CBMisgFBVV95cUxPZDcwb2EwWkM1RlJaOHlCdzdEZ0tDaVpBX3h6bmRzMElLYUpxY2tnOU1oYXNfUGl0bXhsMHRDSGdWUkN2QlRsekZRRTVaTE5ZY1JPX2o0UjFtd3JkeGdfbHVpRmljMHdUZHNITUZPb3BNZ1FVWS03WGxhaEZZVlBFbThjbzF5amN5WGluQ0Z2RFJibXJPZUVOY2IxWENrUmJnTG5mUjJNeDAxSENJZWhtNTBn?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:40.897266,"""General Mills"" ""weight loss""",General Mills,weight loss,2026-04-09 16:20:40.897266
"General Mills Sets Sights on Consumer-Focused Growth: GLP-1 Strategy, Inventory Optimizations - Consumer Goods Technology","General Mills Sets Sights on Consumer-Focused Growth: GLP-1 Strategy, Inventory Optimizations  Consumer Goods Technology","General Mills Sets Sights on Consumer-Focused Growth: GLP-1 Strategy, Inventory Optimizations  Consumer Goods Technology",https://news.google.com/rss/articles/CBMitAFBVV95cUxPTWl1dWoxMncteXFwaVBWeWRnVHJaazJNVEt3TGl6ZXRsQzU2Ul9qUjZ6enVmZVVhYy0xbUMyNDkxWHpjY1pEcXdhVmNHNXZ0M1JOXzJQSm4yaWQwU0pPU3RqOWxsdGpILTBTa3d5eTF1cTBIY21hX1JyUC04eThBREJkaFdQcG5DMGVVUUNIenA2dzl0a3lDeVA2NXJsbE84dXJQbFBnOGJRZ2JrVTB5al85bEg?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:20:46.804883,"""General Mills"" ""GLP-1""",General Mills,GLP-1,2026-04-09 16:20:46.804883
