title,description,full_text,url,source_name,source_url,image_url,published_date,search_query,firm_name,keyword_used,collection_date
Hershey acknowledges ‘mild impact’ from GLP-1 drugs - Food Business News,Hershey acknowledges ‘mild impact’ from GLP-1 drugs  Food Business News,Hershey acknowledges ‘mild impact’ from GLP-1 drugs  Food Business News,https://news.google.com/rss/articles/CBMingFBVV95cUxNdkhnN1U0RkhhUE1sNjcxLVpOUkJUOE1TSDY4dW1LRWhHa1RnSW4xdGVxYktWOXpydVlKc2NpcGFOazhWZ3B5S25jQ3o4enQxN2VRcTNCZ3hFaXF3Z2Y0LW5kVjE5MHBwYkJrNlVnV29lMDdCSGRrQjBHeFpuemx3enMyMFN3NFZmLVAzczdwSjdGRkdDUGdiU1ZiUUFJdw?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:26:43.347277,"""Hershey"" ""Ozempic""",Hershey,Ozempic,2026-04-09 16:26:43.347278
Hershey says GLP-1 weight-loss drugs causing some Americans to buy fewer snacks - ABC27,Hershey says GLP-1 weight-loss drugs causing some Americans to buy fewer snacks  ABC27,Hershey says GLP-1 weight-loss drugs causing some Americans to buy fewer snacks  ABC27,https://news.google.com/rss/articles/CBMitAFBVV95cUxNVFpVYUt0UHBLSjUxTnRKY0lPdWpaeHpKeDdmMVBQdGl2UjdBOW9nZzNoOWdpQWhmTlJCd1ppWVNLemE5TTJEV3BqQmRJWkpFNjE3RnRzQXJPS2Z2bXVXaVZKazEwM0h6OUI0RDJkcUdETXVJRmJtZTNyZlJSYUlCc19ieGk5V0FGTC1fdlVpT3dESER1SFBQNHoxNjQxTXBKSGgtOFpjc3pUQVN3UzJyR3dya1jSAbQBQVVfeXFMTVRaVWFLdFBwS0o1MU50SmNJT3VqWnh6Sng3ZjFQUHRpdlI3QTlvZ2czaDlnaUFoZk5SQndaaVlTS3phOU0yRFdwakJkSVpKRTYxN0Z0c0FyT0tmdm11V2lWSmsxMDNIejlCNEQyZHFHRE11SUZibWUzcmZSUmFJQnNfYnhpOVdBRkwtX3ZVaU93REhEdUhQUDR6MTY0MU1wSkhoLThaY3N6VEFTd1Myckd3cmtY?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:26:43.347329,"""Hershey"" ""Ozempic""",Hershey,Ozempic,2026-04-09 16:26:43.347329
Hershey says GLP-1 weight-loss drugs changing some American snack habits - ABC27,Hershey says GLP-1 weight-loss drugs changing some American snack habits  ABC27,Hershey says GLP-1 weight-loss drugs changing some American snack habits  ABC27,https://news.google.com/rss/articles/CBMirwFBVV95cUxOYzdvTkJZOEduLXRNRE1hLVlNWHh0T3pkNEpMRkJsS0t2UWR4SlNzX0VYSXZEQ1JldjVYaWplUG5nVVFyZmRoUWstMnQzZ2d4SG9pNFczcEVCQWdYbDE5Ukh1YzVsYk4yUTZhWmR4ODROT3k1cFVNN3NqUUw5UW9mSGVGOW5YZXJsaHBIR2xNM3F2dHM5ajlxMGFrdVIxbWlobU5Tb1FZS3ltVUY2UG1J0gG0AUFVX3lxTE1UWlVhS3RQcEtKNTFOdEpjSU91alp4ekp4N2YxUFB0aXZSN0E5b2dnM2g5Z2lBaGZOUkJ3WmlZU0t6YTlNMkRXcGpCZElaSkU2MTdGdHNBck9LZnZtdVdpVkprMTAzSHo5QjREMmRxR0RNdUlGYm1lM3JmUlJhSUJzX2J4aTlXQUZMLV92VWlPd0RIRHVIUFA0ejE2NDFNcEpIaC04WmNzelRBU3dTMnJHd3JrWA?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:27:04.442752,"""Hershey"" ""weight loss drugs""",Hershey,weight loss drugs,2026-04-09 16:27:04.442753
Hershey says GLP-1 weight-loss drugs causing some Americans to buy fewer snacks - 28/22 News,Hershey says GLP-1 weight-loss drugs causing some Americans to buy fewer snacks  28/22 News,Hershey says GLP-1 weight-loss drugs causing some Americans to buy fewer snacks  28/22 News,https://news.google.com/rss/articles/CBMivAFBVV95cUxQak5HMWRIZWFhc1hvaVUzaUViM2oyU3Q3Rk9SN2trZ0pRZWhfRG9wSWVoYjYtN0VXMllCT3Q4TTdHU3RkSDdBUEREWFdBckh2eWxHMUFkc0t2SXhNT1FNelBGdThpR1JyUTNMMVQ5ZHNtMUQyTFJLLThfS181dm95dUJsVHRzRU5jZlRHWDlYTTRnblpiVWF6U1I5OGJsZy1DUWhvN3ljYlBhVWZZUVRpS3dGY0xfdjNZZTN1dA?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:27:04.442767,"""Hershey"" ""weight loss drugs""",Hershey,weight loss drugs,2026-04-09 16:27:04.442767
"Lindt says GLP-1 users are eating more chocolate, Hershey not so sure - Seeking Alpha","Lindt says GLP-1 users are eating more chocolate, Hershey not so sure  Seeking Alpha","Lindt says GLP-1 users are eating more chocolate, Hershey not so sure  Seeking Alpha",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNeG5lcjNrOEVWc2oxMjFBZUN0aFpuWGtjMktNUzhXek5YdVN0bERHMTdwWk5DRUM4VkxJT1RSc0lLM244WDBIdkpVak1SUzA4Rksya0xHVFdPUmMtM0pXdVNrNzVEa3NETU5UaGt2UGJjMVR3cENUb3RpdE5OQlJocFNvUTRhTFMwSGJLVlVCX3l3ZjEtUzd6SFZYY1JaRW9KVnkydW53d3FVZw?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:27:04.442779,"""Hershey"" ""weight loss drugs""",Hershey,weight loss drugs,2026-04-09 16:27:04.442780
"Penn State Hershey offers safe, effective weight loss program - The Pennsylvania State University","Penn State Hershey offers safe, effective weight loss program  The Pennsylvania State University","Penn State Hershey offers safe, effective weight loss program  The Pennsylvania State University",https://news.google.com/rss/articles/CBMipgFBVV95cUxOM3BhV3NEN1lUYVNNb3lrZUlmclJHVmhIVlZ2Q0VLR012ZXFSNm1LbUlTTjRGY3RMN0l3TTd0ZDlzTkhNaXVPbXNDRXJtdGV3TzRCQjJMblJ0S0RteVVDRUdSNUN6NDNSUE1fd1JDTXFUblpNNFVFSUJpZ1Iyd3dfa0twUHhYZDd2ZG9hVjN5Q21pZ2FWX3h6V3FTSzlxbzJpWE9ic09n?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:27:26.266321,"""Hershey"" ""weight loss""",Hershey,weight loss,2026-04-09 16:27:26.266322
Hershey CEO Kirk Tanner on how company is meeting GLP-1 users’ needs - CNBC,Hershey CEO Kirk Tanner on how company is meeting GLP-1 users’ needs  CNBC,Hershey CEO Kirk Tanner on how company is meeting GLP-1 users’ needs  CNBC,https://news.google.com/rss/articles/CBMirwFBVV95cUxNdUJIbFZfdXRpbFhfY3VOdDVzN2dJLUMzRUpJR0gzekFaS3ZnMXRJVGJoWnBuZUxRa3hneWctdUc1SXJSUGlnT0dmQlY5M2ZnUkU4OWo1WjkyUWp2dzZqX3VxMlh1YXN0U3hVVlFsY0luVnRSbmRBalA4Sl9Tc3JlT1I2bGwxSVQ2TVVmT1otVmZPNldOR1RsMnpHTEdIcVFac3Q3cHhwNG1jYTNPckxB?oc=5&hl=en-US&gl=US&ceid=US:en,,,,2026-04-09 16:27:32.452008,"""Hershey"" ""GLP-1""",Hershey,GLP-1,2026-04-09 16:27:32.452008
