Asset,Alpha,Alpha_SE,Alpha_t,Alpha_pval,Beta,Beta_SE,Beta_t,Beta_pval,R_Squared,Adj_R_Squared,Sharpe_Ratio,Jensens_Alpha,Information_Ratio,Treynor_Ratio,Tracking_Error,Observations
CG,-0.0029738560331828063,0.000714943865739906,-4.159565772489171,3.4150104536743536e-05,0.09452190838225769,0.015810048245308087,5.978597086843726,2.9625775000608333e-09,0.028854738348999986,0.02804746880481801,-0.08857327494296197,-0.03568627239819368,-0.12198414012248408,-0.023191293627395127,0.024379038374962206,1205.0
MS,-0.0023695549140959364,0.0005178277385734607,-4.575952073606006,5.231582595812723e-06,0.052076103084445526,0.011451082975769675,4.547701138367245,5.971502841466189e-06,0.016901116995255094,0.016083910941219637,-0.10882567253657506,-0.028434658969151237,-0.134195156290675,-0.03723098256017118,0.017657529374334003,1205.0
JPM,-0.0023666516877811662,0.00044320811363626126,-5.33982031232277,1.1115244708243438e-07,0.046085811307208915,0.009800967593517966,4.70216954269786,2.8714773029637744e-06,0.018047678345561757,0.01723142537660549,-0.1301305765871939,-0.028399820253373995,-0.1565964874303387,-0.043082363936766344,0.015113057301709667,1205.0
BAC,-0.0027544429759275664,0.0004922140694206442,-5.596026499546542,2.7138609690684403e-08,0.055947314062300635,0.010884670192262122,5.140010039263606,3.203563354863387e-07,0.021489571978457578,0.020676180101465547,-0.13500949939318108,-0.03305331571113079,-0.16411003407245603,-0.0409620125505832,0.01678412286911997,1205.0
BLK,-0.0028245176880392787,0.00047477604483087685,-5.949157963615074,3.5294388701780584e-09,0.06553974312577404,0.01049905109224821,6.2424444409232525,5.96029831637097e-10,0.0313760975042251,0.030570923852940246,-0.13869653268237062,-0.033894212256471344,-0.17446602802728076,-0.03482546975614604,0.016189499583251915,1205.0
MET,-0.0025943414826896244,0.0004747400104305762,-5.464762661012346,5.6300327380568505e-08,0.030118762498817026,0.010498254238628584,2.8689305682838486,0.0041905934365512945,0.006795371170995823,0.005969764663241173,-0.14431952756305072,-0.031132097792275493,-0.1602605682030442,-0.0778662659806841,0.016188270837793922,1205.0
Portfolio_EQ,-0.0026077955214422934,0.0003923748281454345,-6.646184552072511,4.548988394535909e-11,0.0500805729136774,0.00867685598897157,5.7717418587251705,9.97316402636916e-09,0.026945445023810133,0.026136588369632174,-0.1616582779258168,-0.03129354625730752,-0.19490714945342608,-0.043801210194177806,0.013379681190532407,1205.0
CME,-0.0023712038683796834,0.0003620784272141289,-6.548868118501248,8.56905506123014e-11,0.00627436793493826,0.008006890718499004,0.7836210278781564,0.43341676311169464,0.0005101817391164332,-0.0003206493650071973,-0.18772426469030687,-0.028454446420556202,-0.19205323101138788,-0.3696483730330423,0.012346597117332964,1205.0
