Asset,Alpha,Alpha_SE,Alpha_t,Alpha_pval,Beta_Mkt,Beta_Mkt_SE,Beta_Mkt_pval,Beta_SMB,Beta_SMB_SE,Beta_SMB_pval,Beta_HML,Beta_HML_SE,Beta_HML_pval,Beta_RMW,Beta_RMW_SE,Beta_RMW_pval,Beta_CMA,Beta_CMA_SE,Beta_CMA_pval,R_Squared,Adj_R_Squared,F_Statistic,F_pval,Sharpe_Ratio,Jensens_Alpha,Information_Ratio,Observations
CG,-0.002854631204425104,0.0007640624470098966,-3.7361228988500845,0.00019567080338318154,0.09369152816660507,0.016684624501413867,2.4347240339538074e-08,0.04813660280834005,0.029271121934470963,0.10033338850328295,0.015667686893040784,0.027842666624074888,0.5737292559227681,0.02466528206368275,0.029720057824010975,0.4067489997457912,0.007641897822489037,0.03699017617381825,0.8363630917884742,0.03415233896524339,0.03012461727619098,8.479319476832737,6.722998751381697e-08,-0.08857327494296197,-0.03425557445310125,-0.11741436113152275,1205.0
MS,-0.0023736035399735803,0.0005527426857567117,-4.294228763469004,1.89460228775976e-05,0.055620877534597955,0.01207009216830975,4.496784849529865e-06,0.015903738370055487,0.021175492417522396,0.45277321447347707,0.029834485858778577,0.020142110620207685,0.13881613143021293,-0.008606592547981358,0.021500264339356832,0.6890056195099094,0.006442317550321798,0.0267596574140561,0.809792069198177,0.02459897968431879,0.020531419132543527,6.04760012081033,1.543041900038192e-05,-0.10882567253657506,-0.028483242479682966,-0.13495383863590454,1205.0
JPM,-0.002494245731025727,0.00047214062903447253,-5.282844935684647,1.5095392165625968e-07,0.05261808719566469,0.010310006908636201,3.8720746305408866e-07,0.002346768088285831,0.01808763927185504,0.8967904947230947,0.03508028835326041,0.017204947298918305,0.04167245245296416,-0.009841367387874948,0.018365052294983013,0.5921445221838385,0.0096312234515786,0.022857510030952086,0.6735682894140597,0.029650110503864013,0.025603613883779963,7.327353334907443,8.932888659209313e-07,-0.1301305765871939,-0.029930948772308723,-0.1660228744807152,1205.0
BAC,-0.0029277632929773168,0.0005234391795696914,-5.593320880917189,2.7573427255674862e-08,0.06366222413030673,0.011430199448521416,3.148514590537591e-08,-0.0012325192287871824,0.020052879329986784,0.9510003622676017,0.05200766541659934,0.019074281993274583,0.006492622011507713,-0.019812919987059717,0.020360433554932444,0.3306954325396166,-0.000776994403522812,0.025341001307332908,0.9755445574655649,0.03639181556556004,0.03237343281145466,9.05633380204548,1.8308089813929678e-08,-0.13500949939318108,-0.035133159515727805,-0.17578013775687898,1205.0
BLK,-0.0028688480175253312,0.0005076608838359715,-5.651111024839713,1.9902397289622527e-08,0.06847285116467143,0.011085653082423194,8.947921133629268e-10,0.01579066052059873,0.019448415100463048,0.41699564815580725,0.006889143753384899,0.018499316125328538,0.7096609295752263,0.01751557887078397,0.019746698560619308,0.37524976887538,0.018350820744787853,0.02457713450404092,0.45541378818787354,0.035647959264956675,0.031626474524610315,8.864377603453724,2.822952445885992e-08,-0.13869653268237062,-0.03442617621030397,-0.17759629664995238,1205.0
MET,-0.00278308180918218,0.0005027015539523085,-5.536250658668567,3.7934580394138585e-08,0.039553993347247844,0.0109773575403358,0.00032715822870276037,0.015396190078726522,0.019258423889265512,0.4241865759805985,0.04119303876350207,0.018318596644649947,0.024712534832182977,0.008340467373057266,0.01955379342375829,0.6697912627211112,0.026134354911835883,0.024337040926848796,0.2831055464119387,0.03025369005561629,0.026209710447841483,7.4811678074370365,6.330107988114671e-07,-0.14431952756305072,-0.033396981710186166,-0.17398660369325963,1205.0
Portfolio_EQ,-0.0026865655728143447,0.0004179657922388507,-6.427716388998361,1.8654306190427101e-10,0.054670391748920175,0.009127005685506305,2.770940443338846e-09,0.013045804920179125,0.016012209102723628,0.4153823136982286,0.025487514397238654,0.015230799863434374,0.09450562442907465,0.004166388746723827,0.01625779092063702,0.7977861005516184,0.011161507451334533,0.020234770534854396,0.5813249478153969,0.03854932987247617,0.034539944258933475,9.614772333762764,5.18721956113408e-09,-0.1616582779258168,-0.032238786873772136,-0.20200251270672787,1205.0
CME,-0.002503785414591179,0.00038751790786372835,-6.461083123600164,1.5081461554397274e-10,0.009073180703347752,0.008462123489490195,0.2838410938925499,-0.0050208061959654635,0.01484575505216965,0.7352731130140436,-0.0022597082578954476,0.014121269749263051,0.8728910081666967,0.016904272842458722,0.015073446777316342,0.26231650958124936,0.010706932081851108,0.01876071221466943,0.5683029612090758,0.0030640824823825463,-0.0010932816440463178,0.7370252855418485,0.5957356667830839,-0.18772426469030687,-0.030045424975094145,-0.20305112216963433,1205.0
