Asset,mean_mse,std_mse,mean_mae,std_mae,mean_rmse,std_rmse,mean_alpha,mean_beta_mkt,mean_beta_smb,mean_beta_hml,mean_r2
BAC,0.00027953272408935833,6.256261855660039e-05,0.012286327557461079,0.001576516299918652,0.0166363139788789,0.0018593618816400152,-0.0029757202704068196,0.06394144780269434,0.006359586513538298,0.04731528345665522,0.035603088423951476
BLK,0.0002635599379236748,0.0001524418037442238,0.011647999758850214,0.0029927681436995894,0.01576413242424882,0.004337635708888806,-0.0029233353105321313,0.06945380830873482,0.004385773363985867,0.020709536571380322,0.034937866356364866
CG,0.0005947716738445755,0.00019208399154038459,0.017808358518028516,0.0033795537472824416,0.024140379635999482,0.0038752007809914023,-0.002831317279397322,0.09354522695356986,0.03646207833472376,0.024126779293520896,0.033646066455174074
CME,0.00015540883470812957,5.9344343730731174e-05,0.009345134021280618,0.001652009148193106,0.012309763998333478,0.002201858593740338,-0.002539958515048819,0.010151225848973275,-0.014422586853111808,0.006703145544721201,0.0028028154853832143
JPM,0.00022651873873721015,5.1857528740671636e-05,0.010752791842479362,0.0017368078222741825,0.01497102532443741,0.001727403930854021,-0.002540837978030429,0.05238511912027186,0.004085961049824989,0.03846923413994733,0.029280976548172744
MET,0.00025894666197464656,4.422086512569476e-05,0.011683638163542412,0.0010926156934545565,0.01604369310698589,0.0013904016791470783,-0.0028949956913644492,0.04081946073334125,0.005335650527432104,0.05806838255973984,0.029338813799442386
MS,0.00031349282509178625,5.0165791545308416e-05,0.012945916797821158,0.0015695814291198052,0.017660583654991645,0.0014127146106114913,-0.0024504666006662187,0.05686019503854199,0.016044217890962574,0.03170294596481109,0.02518949327171387
Portfolio_EQ,0.00017880393018061862,6.527678910223356e-05,0.009731456694575725,0.001911375081749518,0.013203270936705602,0.0023657891792602213,-0.002736661663635169,0.05530806911516102,0.008321525832479384,0.03244218679011084,0.03856619712301128
