Asset,mean_mse,std_mse,mean_mae,std_mae,mean_rmse,std_rmse,mean_alpha,mean_beta_mkt,mean_beta_smb,mean_beta_hml,mean_beta_rmw,mean_beta_cma,mean_r2
BAC,0.0002801850004099246,6.318066097535648e-05,0.012301535848152481,0.0015649705849940065,0.016654278722816235,0.0018774985461629192,-0.0029231685747276963,0.06393232634646823,-0.002350400840650198,0.05216946113657237,-0.02131412202512361,-0.0006333632909134434,0.036686159649865456
BLK,0.00026401870597698095,0.00015223172703869657,0.011667327673448944,0.0030307398480319274,0.015780583676877385,0.004328955531368375,-0.002896638084783594,0.06941148990593093,0.01493509059155183,0.007136918443121029,0.01654084779197848,0.017305539825217743,0.03640130628481832
CG,0.000595713103387497,0.00019279999099007904,0.017808070600355618,0.003396933702876381,0.02415827930221452,0.003887583527027165,-0.002813421458697936,0.09283775120096174,0.04661839525817706,0.01510212490526267,0.022029127810301287,0.00850215613520524,0.034464014662336305
CME,0.00015596219176793963,5.977640611623605e-05,0.009384482054323,0.0016666310069784402,0.012330888031551083,0.0022111626244155735,-0.0025223772704562157,0.010072628837792079,-0.0051589592380943666,-0.003785663817480896,0.016096541096748095,0.013228017334008113,0.00474965292081535
JPM,0.00022654401744513932,5.181693756655562e-05,0.010744834928753453,0.0017322807190223676,0.014971951493586886,0.001726515971118112,-0.002497259084226299,0.052651427645449424,0.0019314005586040875,0.0357846405671553,-0.010543723545967276,0.008232437504654036,0.029657167126348805
MET,0.00025866394956956866,4.3852268478913634e-05,0.011657724476747696,0.0010834074108288403,0.01603556071168332,0.0013805534358939991,-0.002825932005197176,0.04132940740250104,0.013800271343171378,0.041907984444997284,0.0077477775094369344,0.02585938726321631,0.030512160136323296
MS,0.00031437977077121605,5.024525746027993e-05,0.012971700574794229,0.0015701012363279752,0.017685633129997984,0.001413396424545229,-0.0023976630480305053,0.056647941158408655,0.013925025962880366,0.02974708347393582,-0.009576524213084065,0.0071162940451895305,0.025625733888168155
Portfolio_EQ,0.00017903401262810902,6.532863709791978e-05,0.009735411278802475,0.001921378404358071,0.013211940092359232,0.002366075765909599,-0.0026966370751599165,0.05526899607107309,0.011957260519377164,0.025437507021937637,0.0029971320606128585,0.011372924116653976,0.03902275083643723
