Asset,Alpha,Alpha_SE,Alpha_t,Alpha_pval,Beta_Mkt,Beta_Mkt_SE,Beta_Mkt_pval,Beta_SMB,Beta_SMB_SE,Beta_SMB_pval,Beta_HML,Beta_HML_SE,Beta_HML_pval,R_Squared,Adj_R_Squared,F_Statistic,F_pval,Sharpe_Ratio,Jensens_Alpha,Information_Ratio,Observations
CG,-0.0028389397709350428,0.0007528899312770512,-3.7707235188012618,0.0001706943656637276,0.09414093958883295,0.016614244795119738,1.825451138408918e-08,0.03680587918535318,0.026121604704319196,0.1590879281089772,0.024919995886781503,0.01825316209446204,0.17243245566761997,0.03351899618881293,0.031104805504854838,13.884154392419159,6.656976925469365e-09,-0.08857327494296197,-0.03406727725122051,-0.11673068780701268,1205.0
MS,-0.0024069709935607146,0.0005445265011538485,-4.420300919166206,1.0747331382192873e-05,0.05519606304701099,0.01201622735511252,4.818832218058091e-06,0.017988975336700023,0.01889241099298574,0.3411973030597502,0.03175542495229737,0.013201571806694751,0.016304010689375995,0.024438483192489424,0.022001610128024263,10.028623792045645,1.5746999656714198e-06,-0.10882567253657506,-0.028883651922728577,-0.1368397242692237,1205.0
JPM,-0.0025393348945191192,0.00046516475986097065,-5.459001011336458,5.813069968445024e-08,0.052065695484683344,0.010264928337246342,4.5520413191556935e-07,0.004266636702497422,0.016138946046014426,0.7915409708499828,0.03855706210422894,0.011277515357353555,0.0006497534797287552,0.029314269231370038,0.026889575482572425,12.08988526732798,8.467297316496873e-08,-0.1301305765871939,-0.03047201873422943,-0.1689948731629794,1205.0
BAC,-0.002956785274397183,0.0005158247447900068,-5.732150898656278,1.2531493841310834e-08,0.06314347887008095,0.011382857208337007,3.5669830490199017e-08,0.006769344713344264,0.01789660018066122,0.7053135688540458,0.047606516893114126,0.012505722666547099,0.00014789332176353388,0.03561201172929396,0.03320304922736872,14.783132448443695,1.864010153318121e-09,-0.13500949939318108,-0.0354814232927662,-0.17745080318868098,1205.0
BLK,-0.0028972797858553027,0.0005003931870113727,-5.790006461038118,8.976903133368764e-09,0.06841174230736748,0.011042324458656872,7.972507867603215e-10,0.005093309552525991,0.01736120046880479,0.769287653619052,0.020765709588767244,0.01213159795880172,0.08720933325651951,0.034415249138115,0.032003297220891236,14.268629856323612,3.861791387119748e-09,-0.13869653268237062,-0.03476735743026363,-0.17924184396815465,1205.0
MET,-0.0028498890013891596,0.0004954922803431948,-5.75163148740729,1.1203832696276744e-08,0.03901306793354748,0.010934174701673101,0.00037389909829572504,0.00673399362866316,0.017191162935613506,0.695340134732156,0.057635073885249584,0.012012779735701907,1.8054206863376131e-06,0.029063366737837493,0.02663804625508437,11.983309811842318,9.848675643347944e-08,-0.14431952756305072,-0.03419866801666992,-0.17805386584030547,1205.0
Portfolio_EQ,-0.002714139919999984,0.00041178974852831504,-6.59108180740288,6.521718393053037e-11,0.05445589222321763,0.009087086175485903,2.725241355119003e-09,0.009107129710840827,0.014287093751011256,0.5239613873716255,0.03263045291961709,0.00998348459246317,0.0011120353395176255,0.03821940296871129,0.03581695351734249,15.908514931265904,3.793893029142309e-10,-0.1616582779258168,-0.03256967903999981,-0.20404081840904048,1205.0
CME,-0.00250977971934337,0.00038200791875765374,-6.56996778366675,7.479810824631522e-11,0.00922025833100057,0.008429881729389688,0.27428004747212237,-0.01390823114319803,0.013253809664822213,0.2942161674698364,0.007173387126880849,0.009261450011191136,0.43876246752636044,0.0015924826059215968,-0.0009014579038055803,0.6385407349174688,0.5902575599312705,-0.18772426469030687,-0.030117356632120444,-0.20338718933737748,1205.0
